"","log10_neutR","efficacy1","efficacy2","efficacy3","efficacy4","efficacy5"
"1965",-3.036,0.000231604486582788,0.000585025965498132,0.00197859807974532,0.0214950033795455,0.0480450101904035
"1966",-3.035,0.000232321760073527,0.000586833041257975,0.00198465242313045,0.0215553196971458,0.0481694982328473
"1967",-3.034,0.000233041251033294,0.000588645675130973,0.00199072505859247,0.0216157925001372,0.0482942676946522
"1968",-3.033,0.000233762966293603,0.00059046388407104,0.00199681604008342,0.0216764221375445,0.0484193190496891
"1969",-3.032,0.000234486912706874,0.000592287685082982,0.00200292542170736,0.0217372089589302,0.0485446527720193
"1970",-3.031,0.000235213097146488,0.000594117095222633,0.00200905325772065,0.0217981533143937,0.0486702693358922
"1971",-3.03,0.000235941526506858,0.000595952131597005,0.00201519960253238,0.0218592555545717,0.0487961692157421
"1972",-3.029,0.000236672207703487,0.000597792811364448,0.0020213645107048,0.0219205160306376,0.0489223528861871
"1973",-3.028,0.000237405147673033,0.000599639151734782,0.00202754803695365,0.0219819350943016,0.0490488208220256
"1974",-3.027,0.000238140353373375,0.00060149116996946,0.00203375023614858,0.0220435130978103,0.0491755734982345
"1975",-3.026,0.000238877831783675,0.000603348883381713,0.00203997116331356,0.0221052503939466,0.0493026113899665
"1976",-3.025,0.000239617589904441,0.000605212309336697,0.00204621087362724,0.0221671473360296,0.0494299349725478
